Mecanisme;Taux;Taux_num;Variable;Type;Methode;RMSE;RMSE_std;NRMSE;MAE;MAE_std;Bias;KS_pvalue;Wilcoxon_pvalue;F1;Accuracy;Kappa;MCC;Chi2_pvalue;Temps_moyen;Var_Ratio;F1_std
MCAR;10%;0.1;Insu pmol/L;Continue;MICE (BayesianRidge);8.518392611558555;3.3840956714172545;0.02451559190452963;2.756585048366324;1.5125409729692727;0.4395646583662094;0.9999999999999369;0.5988310109398298;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Insuline 10 UI;Continue;MICE (BayesianRidge);2.287392258345992;0.6085079299754435;0.22873922583459919;1.5346481715137592;0.1911710455833552;0.1020342785759758;0.7371339361925775;0.46784628289169633;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;LDLc;Continue;MICE (BayesianRidge);0.1380861428230526;0.029676427022714582;0.062425923518559044;0.10711444150521152;0.020403581455350053;0.007778937178609066;0.9999999991592776;0.35274455354665407;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Lasilix 40 mg;Continue;MICE (BayesianRidge);0.00012520866268793523;1.662488600913675e-05;;0.00010265049239571275;1.4887762743768592e-05;-1.2916754430171966e-05;0.7371339361925775;0.5878161953180097;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Lexomil 6 mg;Continue;MICE (BayesianRidge);0.00013229655527507877;2.1723853356142845e-05;;0.00010814306822875432;1.5366137069998382e-05;1.2999689973923584e-05;0.7228724690571832;0.5665210577193648;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Metformine 500 mg;Continue;MICE (BayesianRidge);1175.6862852242405;122.4825563593498;0.5878431426121203;917.9913450547189;91.2787192418054;-16.442131062095466;0.9725263239247969;0.6949849626980722;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Non HDL;Continue;MICE (BayesianRidge);0.18402578104187312;0.019752215784984522;0.07604371117432773;0.14491391711088009;0.016969516413538777;0.007688360019492381;0.9999913516274855;0.4028173626206154;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;PAD;Continue;MICE (BayesianRidge);14.576572882407941;1.6999467439026614;0.16378171777986453;11.778362508265928;0.9665882673116635;1.558608930273523;0.999982232645271;0.24771465938538312;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;PAS;Continue;MICE (BayesianRidge);24.57754048665737;2.2328236213256405;0.18905800374351825;19.37720351147708;1.589852206269782;1.1353743161161387;0.9999997621729518;0.5447174940723926;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;PCSK9;Continue;MICE (BayesianRidge);50.30726683936068;9.370987749291178;0.15079523688327717;37.05462857270264;2.929101237202085;1.6927550202284258;0.9998922697771331;0.5194409859118423;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Prot;Continue;MICE (BayesianRidge);16.102621170154947;4.069078115354202;0.17540981666835453;12.824747592070475;3.4640682603010418;-1.4356453880533164;0.999982232645334;0.6166165609378368;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Ratio LDL-c/HDL;Continue;MICE (BayesianRidge);0.9765759269367773;0.5228723478063331;0.010621747125944249;0.5299053405967304;0.21988213856390554;-0.021959865126371457;0.9999999999999369;0.7263280925690196;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Ratio LogTG/HDL;Continue;MICE (BayesianRidge);0.1496904737972837;0.018180603693193444;0.07163197279970364;0.12145739987397053;0.019932666636774607;-0.0035125246749183555;0.9999999991590887;0.5343983499376919;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Ratio TG/HDL;Continue;MICE (BayesianRidge);1.8116775580243965;0.5734976178139797;0.04262770724763285;1.236366136837929;0.39220066810418225;0.1550846240663582;0.9220176634464675;0.4100986073128297;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Ratio Tot-c/HDL;Continue;MICE (BayesianRidge);0.9990394178744003;0.5063882829254635;0.009937551642208609;0.5053131480980557;0.18219012414009972;0.008745624744873942;0.9999999999999369;0.6368712777271867;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;TG;Continue;MICE (BayesianRidge);0.39333245236730296;0.09299520018202054;0.11206052773997237;0.28343494144504183;0.04721105464252875;-0.03526095907966921;0.9999999974777076;0.45626389821991326;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;TT;Continue;MICE (BayesianRidge);16.626627364943786;2.0854822886105118;0.09666643816827783;12.880295572660184;1.2285742407133524;-2.0210909683761207;0.9998836222454038;0.42509025555482366;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;Totc;Continue;MICE (BayesianRidge);0.14400804042061874;0.03096539158839083;0.062341143039228906;0.1087465989518833;0.021240455131783038;-0.016725433648279386;0.9999999999998739;0.4828279370733071;;;;;;3.8965205192565917;1.0064673867892004;
MCAR;10%;0.1;lu(mmol/l);Continue;MICE (BayesianRidge);1.007555329404638;0.553737629513291;0.033399356984303394;0.28146682790211924;0.20612820350903305;0.029326958653350655;0.9999999999999998;0.4498348217952298;;;;;;3.8965205192565917;1.0064673867892004;
