Taux_Perte;Taux_Perte_num;Variable;Type_Variable;Methode;RMSE;MAE;KS_pvalue;Wilcoxon_pvalue;F1_weighted;Classification_Error;Chi2_pvalue
40%;0,4;PAD;Continu;KNN (k=5);12,993295743025872;10,534265734265736;0,0016573417701393725;0,0531580218722482;;;
40%;0,4;Prot;Continu;KNN (k=5);12,951141039896605;9,49770588235294;0,0491245619180859;0,04485554467998638;;;
40%;0,4;HDL;Continu;KNN (k=5);0,23721000108634668;0,1807846153846154;0,1350351077952536;0,5190390059977661;;;
40%;0,4;Totc;Continu;KNN (k=5);0,45999183987721254;0,3603913043478261;0,015195395509199468;0,09910031497790942;;;
40%;0,4;LDLc;Continu;KNN (k=5);0,4284398734493445;0,3559354838709677;0,3652081375041959;0,8496857455502445;;;
40%;0,4;TG;Continu;KNN (k=5);0,381753278822164;0,29355038759689916;0,11175394106208987;0,14210730382326173;;;
40%;0,4;Non HDL;Continu;KNN (k=5);0,44688366316454375;0,3664537815126051;0,09188614878431155;0,06571539242743255;;;
40%;0,4;PCSK9;Continu;KNN (k=5);35,02961118783944;27,41245239851526;0,2694445751599743;0,3562929362977405;;;
40%;0,4;Glu;Continu;KNN (k=5);0,8900167659937649;0,5935468749999999;0,16210186746084385;0,017853673143148886;;;
40%;0,4;Ins (µUI/mL);Continu;KNN (k=5);5,337718881438773;3,6367714642187496;0,1350351077952536;0,024617564189030782;;;
40%;0,4;HOMAB%;Continu;KNN (k=5);49,07713404609994;33,466341463414636;0,0016573417701393725;1,2051157343298933e-05;;;
40%;0,4;HOMA-IR;Continu;KNN (k=5);9,418673065830617;1,9051467359084748;0,42046821760171277;0,9261832075342403;;;
40%;0,4;Adipo HMW;Continu;KNN (k=5);5,04692661858083;2,4171571823479003;0,019465626104386045;2,899768048063834e-06;;;
40%;0,4;Glibenclamide 5mg;Continu;KNN (k=5);5,273709842594298;4,453488372093023;1,0751741309113162e-07;0,2878902554666689;;;
40%;0,4;Insuline 10 UI;Continu;KNN (k=5);1,7888543819998317;0,45714285714285713;0,9999567581377435;0,24739871536403601;;;
40%;0,4;Lasilix 40 mg;Continu;KNN (k=5);0,0;0,0;1,0;1,0;;;
40%;0,4;Lexomil 6 mg;Continu;KNN (k=5);0,0;0,0;1,0;1,0;;;
40%;0,4;Metformine 500 mg;Continu;KNN (k=5);939,7756618329947;766,6666666666666;2,711292647395307e-07;0,49416776078753877;;;
40%;0,4;Ratio Tot-c/HDL;Continu;KNN (k=5);4,889647815583967;2,357518203838168;0,31482613288791556;0,7687228429071413;;;
40%;0,4;Ratio LDL-c/HDL;Continu;KNN (k=5);4,467304045600831;2,322059440819048;0,31482613288791556;0,9640728158061964;;;
40%;0,4;Ratio TG/HDL;Continu;KNN (k=5);4,154351539982421;1,8741515322458013;0,09188614878431155;0,10434506734017417;;;
40%;0,4;Ratio LogTG/HDL;Continu;KNN (k=5);0,2508080272290682;0,1740851971210527;0,7442018745342833;0,9853372474611171;;;
40%;0,4;Insu pmol/L;Continu;KNN (k=5);30,503171853188757;20,443590983255813;0,07506130791879756;0,07849829865757164;;;
40%;0,4;lu(mmol/l);Continu;KNN (k=5);5,160979951447777;3,6080587428571427;0,039356539334689765;0,8361337630247666;;;
40%;0,4;HOMAS%;Continu;KNN (k=5);483,6219331057261;171,84016128448386;0,0491245619180859;0,03870979742973249;;;
40%;0,4;Sexe;Binaire;KNN (k=5);;;;;0,5757812500000001;0,375;6,461167328124516e-36
40%;0,4;HTA;Binaire;KNN (k=5);;;;;0,6740335630806114;0,3380281690140845;1,2083561421023527e-31
40%;0,4;HTS/HTD;Ordinal;KNN (k=5);;;;;0,22206143406792406;0,8062015503875969;5,984737974287745e-75
40%;0,4;Profil_glycemique;Ordinal;KNN (k=5);;;;;0,18054043221216473;0,823076923076923;9,554801151351575e-51
40%;0,4;Age;Continu;MissForest;12,754408626984606;10,403965050549573;0,006951721541272778;0,16799956016176487;;;
40%;0,4;IMC;Continu;MissForest;4,977184836091495;3,3400169156044135;0,3652081375041959;0,1445962764855308;;;
40%;0,4;TT;Continu;MissForest;15,761120967148196;9,809828582705336;0,5438221307073731;0,7626067924691221;;;
40%;0,4;PAS;Continu;MissForest;14,563961292975886;11,245910224093327;0,0491245619180859;0,14249396539413275;;;
40%;0,4;PAD;Continu;MissForest;9,358397968305114;6,663045789664766;0,16210186746084385;0,09803231054893853;;;
40%;0,4;Prot;Continu;MissForest;11,239772574052184;8,00913471400033;0,03132700885763083;0,3837314007377025;;;
40%;0,4;HDL;Continu;MissForest;0,10877078211074163;0,07266888934940124;0,9126306966280817;0,006304737659027764;;;
40%;0,4;Totc;Continu;MissForest;0,2252167184528018;0,16098576994947833;0,9903851486604354;0,8159791690787617;;;
40%;0,4;LDLc;Continu;MissForest;0,1986893673801111;0,13377607478955206;0,9754946858184;0,43361865883191664;;;
40%;0,4;TG;Continu;MissForest;0,3038494966619847;0,22268725806636883;0,42046821760171277;0,13096767482574453;;;
40%;0,4;Non HDL;Continu;MissForest;0,20900362193216102;0,14122987458779365;0,6101327398229283;0,3304466388900571;;;
40%;0,4;PCSK9;Continu;MissForest;37,35967003837978;28,915593627145693;0,002999139400832548;0,0022528678462935157;;;
40%;0,4;Glu;Continu;MissForest;0,5744716804003757;0,22245351562500015;0,8644440045104076;0,181379294723381;;;
40%;0,4;Ins (µUI/mL);Continu;MissForest;3,813937460998683;1,7610318544727686;0,9754946858184;0,3178804697073797;;;
40%;0,4;HOMAB%;Continu;MissForest;37,500634395203534;23,169762709753417;0,039356539334689765;7,89464765230721e-05;;;
40%;0,4;HOMA-IR;Continu;MissForest;6,042358039556511;1,4100126488408136;0,9126306966280817;0,0071563968833974;;;
40%;0,4;Adipo HMW;Continu;MissForest;5,020625267715139;2,537050900934273;0,0012199876922125534;8,59747686275881e-06;;;
40%;0,4;Glibenclamide 5mg;Continu;MissForest;5,066639350279555;3,82782015714548;1,1967200654075922e-09;0,6517539846986068;;;
40%;0,4;Insuline 10 UI;Continu;MissForest;1,782734656964647;0,4042857142857143;0,9972477320442394;0,1952911827447258;;;
40%;0,4;Lasilix 40 mg;Continu;MissForest;0,0;0,0;1,0;1,0;;;
40%;0,4;Lexomil 6 mg;Continu;MissForest;0,0;0,0;1,0;1,0;;;
40%;0,4;Metformine 500 mg;Continu;MissForest;658,3368721921951;422,7331146485565;1,1967200654075922e-09;0,09770203525536214;;;
40%;0,4;Ratio Tot-c/HDL;Continu;MissForest;3,833415916755828;1,1229435697067225;0,9903851486604354;0,020831923638506417;;;
40%;0,4;Ratio LDL-c/HDL;Continu;MissForest;3,0137572993285358;1,0581860847940705;0,9126306966280817;0,10360022092975721;;;
40%;0,4;Ratio TG/HDL;Continu;MissForest;1,892682066660796;0,6242258798393973;0,48023676634154905;0,00969041703518444;;;
40%;0,4;Ratio LogTG/HDL;Continu;MissForest;0,1414226270472565;0,08150930968993443;0,48023676634154905;0,14497226464479157;;;
40%;0,4;Insu pmol/L;Continu;MissForest;20,297619195427227;9,360213592231805;0,9903851486604354;0,019401358129001248;;;
40%;0,4;lu(mmol/l);Continu;MissForest;3,3312607507610403;1,3692032971428554;0,8074043812092967;0,7283003034145383;;;
40%;0,4;HOMAS%;Continu;MissForest;161,1803972350639;56,68067666709556;0,9499065344511678;0,2088213885174537;;;
40%;0,4;Sexe;Binaire;MissForest;;;;;0,5646411423582964;0,4196428571428571;2,7427658464732793e-32
40%;0,4;HTA;Binaire;MissForest;;;;;0,8855287563068228;0,11267605633802813;3,7852305825566366e-54
40%;0,4;HTS/HTD;Ordinal;MissForest;;;;;0,6594771998835804;0,4108527131782945;9,934178113979338e-114
40%;0,4;Profil_glycemique;Ordinal;MissForest;;;;;0,9460606639561661;0,05384615384615388;1,2682048714743958e-177
